objectid,title,creator,date,description,format,type,focus,filename,object_location,image_small,image_thumb,link
search_01,Google,Larry Page and Sergey Brin,"September 4, 1998",Ubiquitous search engine ,images,broad,,search_01.jpg,/objects/search_01.jpg,/objects/search_01.jpg,/objects/search_01.jpg,https://www.google.com/search?q=%22moscow%20idaho%22&tbm=isch&hl=en&tbs=il:cl&sa=X&ved=0CAAQ1vwEahcKEwjg7siA6LWDAxUAAAAAHQAAAAAQAg&biw=1903&bih=957
search_02,Bing,Microsoft,"May 28, 2009",Second-largest search engine worldwide,images,broad,,search_02.jpg,/objects/search_02.jpg,/objects/search_02.jpg,/objects/search_02.jpg,https://www.bing.com/images/search?q=Moscow%2C+Idaho&qs=n&form=QBIR&qft=%20filterui%3Aimagesize-large%20filterui%3AlicenseType-Any&sp=-1&lq=0&pq=moscow%2C%20idaho&sc=10-13&cvid=FB932556163A4152AEA36B3B8A4F6902&ghsh=0&ghacc=0&first=1&cw=1177&ch=921
search_03,Wikimedia Commons,Erik Möller ,"September 7, 2004","Contains over 100 million free-to-use media files, managed and editable by registered volunteers",images,broad,,search_03.jpg,/objects/search_03.jpg,/objects/search_03.jpg,/objects/search_03.jpg,https://commons.wikimedia.org/w/index.php?search=moscow+idaho&title=Special:MediaSearch&go=Go&type=image&fileres=%3E1000
search_04,Flickr,"Ludicorp, a Vancouver-based company founded by Stewart Butterfield and Caterina Fake","February 10, 2004",Long running image and video hosting service,images,broad,,search_04.jpg,/objects/search_04.jpg,/objects/search_04.jpg,/objects/search_04.jpg,https://www.flickr.com/search/?text=%22moscow%20idaho%22&license=2%2C3%2C4%2C5%2C6%2C9
search_05,Openverse,"Catherine Stihler (Creative Commons) and Matt Mullenweg (WordPress Foundation, Automattic Inc.) ",May 2021,An open-source search engine for open content developed as part of the WordPress project,images,broad,,search_05.jpg,/objects/search_05.jpg,/objects/search_05.jpg,/objects/search_05.jpg,"https://openverse.org/search/?q=moscow%20idaho&license=pdm,cc0,by,by-sa,by-nd,by-nc,by-nc-sa,by-nc-nd"
search_06,Digital Public Library of America,Berkman Center for Internet & Society,2010,"A discovery tool for public domain and openly licensed content held by the United States' archives, libraries, museums, and other cultural heritage institutions",images,consortium,,search_06.jpg,/objects/search_06.jpg,/objects/search_06.jpg,/objects/search_06.jpg,https://dp.la/search?q=moscow+idaho&type=%22image%22
search_07,Calisphere,,,"More than one million primary sources such as photographs, documents, newspapers, political cartoons, works of art, diaries, transcribed oral histories relating to the history and culture of California from over 100 libraries and institutions",images,consortium,,search_07.jpg,/objects/search_07.jpg,/objects/search_07.jpg,/objects/search_07.jpg,https://calisphere.org/search/?q=moscow%20idaho&type_ss=image
search_08,"Internet Archive, Images",Brewster Kahle,"May 10, 1996","American digital library advocating for ""a free and open Internet"" which holds more than 38 million print materials, 11.6 million pieces of audiovisual content, 2.6 million software programs, 15 million audio files, 4.7 million images, 251,000 concerts, and over 832 billion web pages",images,consortium,,search_08.jpg,/objects/search_08.jpg,/objects/search_08.jpg,/objects/search_08.jpg,https://archive.org/details/image?query=moscow+idaho
search_09,Artstor,,2003,"A nonprofit organization that builds and distributes the Digital Library, an online resource of more than 2.5 million images in the arts, architecture, humanities, and sciences",images,consortium,art;history,search_09.jpg,/objects/search_09.jpg,/objects/search_09.jpg,/objects/search_09.jpg,https://www-jstor-org.uidaho.idm.oclc.org/action/doBasicSearch?Query=idaho&scope=eyJpZCI6ICIxMDAxNDY0NjciLCAicGFnZU5hbWUiOiAiQXJ0c3RvciIsICJwYWdlVXJsIjogIi9zaXRlL2FydHN0b3IvIiwgInR5cGUiOiAicG9ydGFsIn0%3D&searchkey=1704489719487
search_10,The New York Public Library Digital Collections,,,"Over 922,495 books, videos, maps, manuscripts, illustrations and photos",images,large institution,,search_10.jpg,/objects/search_10.jpg,/objects/search_10.jpg,/objects/search_10.jpg,https://digitalcollections.nypl.org/search/index?utf8=%E2%9C%93&keywords=idaho
search_11,National Archives,,,The National Archives and Records Administration (NARA) is an independent agency of the United States government within the executive branch charged with the preservation and documentation of government and historical records,images,consortium,,search_11.jpg,/objects/search_11.jpg,/objects/search_11.jpg,/objects/search_11.jpg,https://search.archives.gov/search/images?affiliate=national-archives&query=idaho&commit=Search
search_12,Yale University Digital Collections,,, Provides access to millions of digitized works and images,images,consortium,,search_12.jpg,/objects/search_12.jpg,/objects/search_12.jpg,/objects/search_12.jpg,https://collections.library.yale.edu/catalog?all_fields_advanced=idaho&callNumber_tesim=&child_oids_ssim=&creator_tesim=&date_fields=&digitization_note_tesi=&fulltext_tsim_advanced=&genre_fields=&oid_ssi=&op=AND&per_page=100&search_field=advanced&sort=score+desc%2C+pub_date_si+desc%2C+title_ssim+asc%2C+archivalSort_ssi+asc&subject_fields=&title_tesim=
search_13,Smithsonian Institution,,,"Over 18 million records of museum objects, archives and library materials including more than 8 million online images, audio & videos and blog posts.",images,large institution,art;music;natural science;history,search_13.jpg,/objects/search_13.jpg,/objects/search_13.jpg,/objects/search_13.jpg,https://collections.si.edu/search/results.htm?q=moscow+idaho&fq=online_media_type:%22Images%22
search_14,The Biodiversity Heritage Library,,2006, The world’s largest open access digital library for biodiversity literature. BHL operates as a worldwide consortium of natural history and botanical research,images,consortium,natural science,search_14.jpg,/objects/search_14.jpg,/objects/search_14.jpg,/objects/search_14.jpg,https://www.biodiversitylibrary.org/search?searchTerm=%22moscow+idaho%22&stype=F#/titles
search_15,The Met Museum,,,"The Metropolitan Museum of Art, colloquially referred to as the Met, is an art museum in New York City. It is the largest art museum in the Americas and fourth-largest in the world.",images,large institution,art;history,search_15.jpg,/objects/search_15.jpg,/objects/search_15.jpg,/objects/search_15.jpg,https://www.metmuseum.org/art/collection/search?showOnly=openAccess&q=idaho
search_16,National Library of Medicine,,,"The United States National Library of Medicine (NLM), operated by the United States federal government, is the world's largest medical library.",images,large institution,medicine,search_16.jpg,/objects/search_16.jpg,/objects/search_16.jpg,/objects/search_16.jpg,https://collections.nlm.nih.gov/?_gl=1%2Aw6kgt3%2A_ga%2AMTUzMDU0MTM5My4xNzAzODkwNTg1%2A_ga_7147EPK006%2AMTcwNDQ4NDk4My4yLjEuMTcwNDQ4NTE4OS4wLjAuMA..%2A_ga_P1FPTH9PL4%2AMTcwNDQ4NDk4My4yLjEuMTcwNDQ4NTE4MS4wLjAuMA..&f%5Bdrep2.isMemberOfCollection%5D%5B%5D=DREPIHM&f%5Bdrep2.rightsFacet%5D%5B%5D=Public+domain&q=idaho&search_field=all_fields
search_17,The David Rumsey Map Collection,David Rumsey,1996,"The David Rumsey Historical Map Collection is a large private map collection with over 150,000 maps and cartographic items.",images,large institution,maps,search_17.jpg,/objects/search_17.jpg,/objects/search_17.jpg,/objects/search_17.jpg,https://www.davidrumsey.com/luna/servlet/view/search?annotSearch=annotSearch&q=moscow+idaho&annotView=1&os=0
search_18,Europeana,Europeana Foundation,"November 20, 2008","A web portal created by the European Union containing digitised cultural heritage collections of more than 3,000 institutions across Europe. It includes records of over 50 million cultural and scientific artefacts, brought together on a single platform and presented in a variety of ways relevant to modern users.",images,internation consortium,,search_18.jpg,/objects/search_18.jpg,/objects/search_18.jpg,/objects/search_18.jpg,https://www.europeana.eu/en/search?page=1&query=%22moscow%20idaho%22&reusability=open&view=grid
search_19,Canadiana,,2018,An organization dedicated to the preservation and access of Canada’s documentary heritage,images,internation consortium,,search_19.jpg,/objects/search_19.jpg,/objects/search_19.jpg,/objects/search_19.jpg,https://www.canadiana.ca/search/?q0.0=%22moscow%20idaho%22
search_20,The National Archives (United Kingdom),,,"The official archive of the UK Government and for England and Wales; and ""guardian of some of the nation's most iconic documents, dating back more than 1,000 years.""",images,internation consortium,,search_20.jpg,/objects/search_20.jpg,/objects/search_20.jpg,/objects/search_20.jpg,https://discovery.nationalarchives.gov.uk/results/r?_q=moscow+idaho
search_21,NDL Search (Japan),,,"The National Diet Library (NDL)  is the national library of Japan and among the largest libraries in the world. It was established in 1948 for the purpose of assisting members of the National Diet of Japan (国会, Kokkai) in researching matters of public policy",images,internation consortium,,search_21.jpg,/objects/search_21.jpg,/objects/search_21.jpg,/objects/search_21.jpg,https://ndlsearch.ndl.go.jp/search?cs=bib&display=panel&from=0&size=100&keyword=moscow+idaho&f-ht=ndl&f-ht=library&f-mt=dtbook&f-mt=magazine&f-mt=newspaper&f-mt=jbook&f-mt=map&f-mt=audio&f-doc_style=digital&f-doc_style=paper&f-doc_style=micro
search_22,Newspapers.com,,,"Database includes more than 840 million pages from 24,000-plus newspapers, mostly local United States papers with some Canadian and elsewhere",images,newspapers,,search_22.jpg,/objects/search_22.jpg,/objects/search_22.jpg,/objects/search_22.jpg,https://uidaho.newspapers.com/search/?query=Moscow%20Idaho
search_23,NewsBank,John Naisbitt,2013,NewsBank Inc. is a US-based commercial company that operates a news database resource that provides archives of media publications as reference materials to libraries.,images,newspapers,,search_23.jpg,/objects/search_23.jpg,/objects/search_23.jpg,/objects/search_23.jpg,https://infoweb-newsbank-com.uidaho.idm.oclc.org/apps/news/results?p=AMNEWS&fld-base-0=alltext&sort=YMD_date%3AD&maxresults=20&val-base-0=%22moscow%20idaho%22&t=
search_24,Library of Congress,,,"The Library of Congress (LOC) is a research library in Washington, D.C., that serves as the library and research service of the U.S. Congress and the de facto national library of the United States.",images,newspapers,,search_24.jpg,/objects/search_24.jpg,/objects/search_24.jpg,/objects/search_24.jpg,https://www.loc.gov/newspapers/?all=true&dl=page&q=%22moscow%20idaho%22
search_25,Chronicling America,,2007,"Chronicling America is an open access, open source newspaper database and companion website.",images,newspapers,,search_25.jpg,/objects/search_25.jpg,/objects/search_25.jpg,/objects/search_25.jpg,https://chroniclingamerica.loc.gov/search/pages/results/?state=&date1=1770&date2=1963&proxtext=%22moscow+idaho%22&x=0&y=0&dateFilterType=yearRange&rows=20&searchType=basic
search_26,"Internet Archive, Newspapers",Brewster Kahle,"May 10, 1996","American digital library advocating for ""a free and open Internet"" which holds more than 38 million print materials, 11.6 million pieces of audiovisual content, 2.6 million software programs, 15 million audio files, 4.7 million images, 251,000 concerts, and over 832 billion web pages",images,newspapers,,search_26.jpg,/objects/search_26.jpg,/objects/search_26.jpg,/objects/search_26.jpg,https://archive.org/search?and[]=collection:%22newspapers%22&sin=TXT&query=%22moscow%20idaho%22
search_27,"Google, Newspapers",Larry Page and Sergey Brin,"September 4, 1998",Ubiquitous search engine ,images,newspapers,,search_27.jpg,/objects/search_27.jpg,/objects/search_27.jpg,/objects/search_27.jpg,"https://www.google.com/search?q=%22moscow+idaho%22&sca_esv=594492222&tbs=bkt:s,bkv:f&tbm=bks&sxsrf=AM9HkKnO8jWjAaHiiHKxoVDVS0EFo-d08g:1703889837831&source=lnt&sa=X&ved=2ahUKEwjBt5Sk3LWDAxXRLzQIHTonAxAQpwV6BAgBEAg&biw=1920&bih=957&dpr=1"
search_28,Veridian (previously Elefind),,,Previously consolidated in one database but still helpful guide if you are looking for regional newspaper collections,images,newspapers,,search_28.jpg,/objects/search_28.jpg,/objects/search_28.jpg,/objects/search_28.jpg,https://veridiansoftware.com/collections/
search_29,"Internet Archive, Books",Brewster Kahle,"May 10, 1996","American digital library advocating for ""a free and open Internet"" which holds more than 38 million print materials, 11.6 million pieces of audiovisual content, 2.6 million software programs, 15 million audio files, 4.7 million images, 251,000 concerts, and over 832 billion web pages",images,books,,search_29.jpg,/objects/search_29.jpg,/objects/search_29.jpg,/objects/search_29.jpg,https://archive.org/search?and[]=collection:%22texts%22&sin=TXT&query=%22moscow%20idaho%22
search_30,"Google, Books",Larry Page and Sergey Brin,"September 4, 1998",Ubiquitous search engine ,images,books,,search_30.jpg,/objects/search_30.jpg,/objects/search_30.jpg,/objects/search_30.jpg,"https://www.google.com/search?q=%22moscow+idaho%22&sca_esv=596100147&tbs=bkv:f,bkt:b&tbm=bks&sxsrf=ACQVn09DeULXQGxpgwknbGKNd2mzz-eKjg:1704502009428&source=lnt&sa=X&ved=2ahUKEwi2vanmxMeDAxWOJzQIHRAgAt8QpwV6BAgBEA0&biw=957&bih=938&dpr=1"
search_31,Hathitrust,,2008,"A large-scale collaborative repository of digital content from research libraries including content digitized via Google Books and the Internet Archive digitization initiatives, as well as content digitized locally by libraries.",images,books,,search_31.jpg,/objects/search_31.jpg,/objects/search_31.jpg,/objects/search_31.jpg,https://babel.hathitrust.org/cgi/ls?field1=ocr;q1=%22moscow%20idaho%22;a=srchls
search_32,University of Idaho Digital Collection,,2008,Maintains over a hundred digital collections and applications,images,regional archive example,Higher Education Institutions,search_32.jpg,/objects/search_32.jpg,/objects/search_32.jpg,/objects/search_32.jpg,https://www.lib.uidaho.edu/digital/
search_33,Washington Rural Heritage,,,Digital repository currently includes material from the holdings of 153 institutions and 408 privately held collections throughout the state.,images,regional archive example,Cultural Institutions,search_33.jpg,/objects/search_33.jpg,/objects/search_33.jpg,/objects/search_33.jpg,https://www.washingtonruralheritage.org/digital/search/searchterm/moscow%20idaho
search_34,Washington State Department of Transportation Library Digital Collections,,,Contains historical print and born-digital documents published by the Washington State Department of Transportation and its predecessor agencies,images,regional archive example,Infrastructural Institutions,search_34.jpg,/objects/search_34.jpg,/objects/search_34.jpg,/objects/search_34.jpg,https://cdm16977.contentdm.oclc.org/digital/search/searchterm/moscow%20idaho
search_35,Washington State Digital Archives,,,"The nation's first archives dedicated specifically to the preservation of electronic records from both State and Local agencies that have permanent legal, fiscal or historical value",images,regional archive example,State Government Institutions,search_35.jpg,/objects/search_35.jpg,/objects/search_35.jpg,/objects/search_35.jpg,https://digitalarchives.wa.gov/Search#2
search_36,Washington State Historical Society,,,"Over 83,000 artifacts, 600,000 photographs, 65,000 pieces of ephemera, and over 8 million documents",images,regional archive example,Historical Societies,search_36.jpg,/objects/search_36.jpg,/objects/search_36.jpg,/objects/search_36.jpg,https://www.washingtonhistory.org/research/collections-search/?search_term=moscow+idaho
search_37,Tacoma Public Library Northwest Room,,,A digital discovery database for the Northwest Room and Community Archives Center at Tacoma Public Library,images,regional archive example,Public Libraries,search_37.jpg,/objects/search_37.jpg,/objects/search_37.jpg,/objects/search_37.jpg,https://northwestroom.tacomalibrary.org/index.php/informationobject/browse?topLod=0&sort=relevance&query=moscow+idaho&repos=19266
search_38,"Internet Archive, Audio",Brewster Kahle,"May 10, 1996","American digital library advocating for ""a free and open Internet"" which holds more than 38 million print materials, 11.6 million pieces of audiovisual content, 2.6 million software programs, 15 million audio files, 4.7 million images, 251,000 concerts, and over 832 billion web pages",audio,broad,,search_38.jpg,/objects/search_38.jpg,/objects/search_38.jpg,/objects/search_38.jpg,https://archive.org/details/audio?query=%22moscow+idaho%22&sin=TXT
search_39,Digital Public Library of America,Berkman Center for Internet & Society,2010,"A discovery tool for public domain and openly licensed content held by the United States' archives, libraries, museums, and other cultural heritage institutions",audio,consortium,,search_39.jpg,/objects/search_39.jpg,/objects/search_39.jpg,/objects/search_39.jpg,https://dp.la/search?q=idaho+moscow&type=%22sound%22
search_40,Openverse,"Catherine Stihler (Creative Commons) and Matt Mullenweg (WordPress Foundation, Automattic Inc.) ",May 2021,An open-source search engine for open content developed as part of the WordPress project,audio,broad,,search_40.jpg,/objects/search_40.jpg,/objects/search_40.jpg,/objects/search_40.jpg,https://openverse.org/en-gb/search/audio?q=idaho
search_41,Soundcloud,Alexander Ljung and Eric Wahlforss,2007,One of the largest music streaming services in the world with more than 76 million active monthly users and over 200 million audio tracks as of November 2021,audio,broad,,search_41.jpg,/objects/search_41.jpg,/objects/search_41.jpg,/objects/search_41.jpg,https://soundcloud.com/search?q=moscow%20idaho&filter.license=to_modify_commercially
search_42,Oral History Association Guide to Leading Institutions,James V. Mink,1966,"Because oral history isn't very centralized, this guide to leading repositories may help you locate material based on the region of your subject",audio,large institution,,search_42.jpg,/objects/search_42.jpg,/objects/search_42.jpg,/objects/search_42.jpg,https://oralhistory.org/centers-and-collections/
search_43,"Internet Archive, Videos",Brewster Kahle,"May 10, 1996","American digital library advocating for ""a free and open Internet"" which holds more than 38 million print materials, 11.6 million pieces of audiovisual content, 2.6 million software programs, 15 million audio files, 4.7 million images, 251,000 concerts, and over 832 billion web pages",video,consortium,,search_43.jpg,/objects/search_43.jpg,/objects/search_43.jpg,/objects/search_43.jpg,https://archive.org/details/movies?query=%22moscow+idaho%22
search_44,The Open Video Project,"Interaction Design Laboratory at the School of Information and Library Science, University of North Carolina Chapel Hill",1998,"A shared repository intended to help researchers study ways to catalog, retrieve, preserve, and interact with digitized video once widespread access is available",video,broad,,search_44.jpg,/objects/search_44.jpg,/objects/search_44.jpg,/objects/search_44.jpg,https://open-video.org/results.php
search_45,American Archive of Public Broadcasting,,2013,"More than 7,000 historic public radio and television programs available for streaming, provides data records for approximately 2.5 million items inventoried by public broadcasting stations",video,large institution,,search_45.jpg,/objects/search_45.jpg,/objects/search_45.jpg,/objects/search_45.jpg,https://americanarchive.org/catalog?q=moscow+idaho&utf8=%E2%9C%93&f[access_types][]=online
search_46,Vimeo,Zach Klein and Jake Lodwick,2004,"An American video hosting, sharing, and services platform provider headquartered in New York City. Vimeo focuses on the delivery of high-definition video across a range of devices",video,broad,,search_46.jpg,/objects/search_46.jpg,/objects/search_46.jpg,/objects/search_46.jpg,https://vimeo.com/search?q=%22moscow+idaho%22
search_47,YouTube,"Steve Chen, Chad Hurley, and Jawed Karim","February 14, 2005",An American online video sharing and social media platform owned by Google,video,broad,,search_47.jpg,/objects/search_47.jpg,/objects/search_47.jpg,/objects/search_47.jpg,https://www.youtube.com/results?search_query=%22moscow+idaho%22&sp=EgIwAQ%253D%253D
search_48,"Bing, video",Microsoft,"May 28, 2009",Second-largest search engine worldwide,video,broad,,search_02.jpg,/objects/search_02.jpg,/objects/search_02.jpg,/objects/search_02.jpg,https://www.bing.com/videos/search?q=%22moscow%20idaho%22
search_49,Moving Image Research Center,,,List of more niche video resources provided by the Library of Congress' Moving Image Research Center,video,large institution,,search_49.jpg,/objects/search_49.jpg,/objects/search_49.jpg,/objects/search_49.jpg,https://www.loc.gov/rr/mopic/onlinesources.html
search_50,Seattle Municiple Archives Digital Collections,,,"An archive designed to support the goals of the City of Seattle and the citizens of the City by identifying, acquiring, arranging, describing, preserving, and making accessible - for the use of City agencies, scholars, students, and the general public - the records of enduring value created or received by City agencies and elected officials",images,regional archive example,Municiple Institutions,search_50.jpg,/objects/search_50.jpg,/objects/search_50.jpg,/objects/search_50.jpg,https://archives.seattle.gov/digital-collections/index.php/MultiSearch/Index?search=moscow